		(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)
VARIABLES	LABELS	STOXX50E	STOXX50E	STOXX50E	STOXX50E	SX7E	SX7E	SX7E	SX7E
									
conffactor1	Timing	-0.00	-0.01	0.02	-0.24*	0.00	-0.00	0.02	-0.30**
		(0.02)	(0.03)	(0.02)	(0.12)	(0.03)	(0.03)	(0.03)	(0.11)
conffactor2	FG	-0.02	0.01	-0.03	-0.23**	-0.04*	-0.00	-0.05	-0.25***
		(0.02)	(0.02)	(0.02)	(0.09)	(0.02)	(0.02)	(0.03)	(0.08)
conffactor3	QE	-0.01			-0.07	0.07			0.02
		(0.04)			(0.04)	(0.08)			(0.07)
surprise_std	IJC	-0.07*	-0.11**	-0.04	-0.05	-0.06	-0.12***	-0.06	-0.03
		(0.04)	(0.05)	(0.06)	(0.10)	(0.06)	(0.04)	(0.10)	(0.14)
									
Observations		180	67	71	42	180	67	71	42
R-squared		0.03	0.12	0.05	0.35	0.04	0.10	0.03	0.17
