"Date","Target","Timing","FG","QE","AAA","BBB","SPREAD_BBB_AAA","DSPREAD_BBB_AAA","STOXX","EURUSD","LOGSTOXX","LOGEURUSD","DLOG10STOXX","DLOG10EURUSD","STOXX600","SX7E","DE1Y","FR1Y","IT1Y","ES1Y","DE2Y","FR2Y","IT2Y","ES2Y","DE5Y","FR5Y","IT5Y","ES5Y","DE10Y","FR10Y","IT10Y","ES10Y","SPREAD_BTP_BUND","DSPREAD_BTP_BUND","OIS2Y","OIS5Y","OIS10Y","DOIS2Y","DOIS5Y","DOIS10Y","ILS2Y","DILS2Y","ILS1Y1Y","ILS2Y1Y","DILS2Y1Y","VIXEA","EA5YAAA","EA10YAAA","EA5Y","EA10Y","GOV5Y","GOV10Y","VIXEA.1","WeekDay"
2002-01-03,0.805551646593176,1.98461029032208,-2.01314653961211,-0.765203662560012,4.34,5.91,1.57,,3833.09,0.9036,825.14,-10.1368494388289,0.887431170451123,-0.009611474685754,299.09,274.46,,3.17,,,3.629,3.68,3.664,3.499,4.344,4.47,4.257,4.424,4.9153,4.986,5.135,5.093,0.2197,,3.7125,,,,,,,,,,,24.9,,,,,4.37148748071695,5.02054532293607,26.9,4
2002-01-04,0,0,0,0,4.44,5.92,1.47,-0.1,3820.42,0.8954,824.81,-11.0484733175272,-0.143790655850012,-0.39591322008992,300.57,275.06,,3.26,,,3.684,3.73,3.721,3.55,4.399,4.5,4.301,4.464,4.9475,5.024,5.163,5.105,0.2155,-0.42,3.7675,,,0.055,,,,,,,,25.21,,,,,4.41423090798844,5.04937551428375,24.9,5
2002-01-07,0,0,0,0,4.45,5.88,1.43,0,3754.42,0.8905,823.07,-11.5972176252421,-0.75682552210202,-0.23831662481639,297.77,271.79,,3.29,,,3.596,3.65,3.695,3.529,4.276,4.387,4.203,4.366,4.8313,4.902,5.058,4.992,0.2267,1.12,3.7175,,,-0.05,,,,,,,,25.82,,,,,4.30643312988098,4.93874648951294,25.21,1
2002-01-08,0,0,0,0,4.37,5.84,1.46,0.03,3724.04,0.8909,822.26,-11.5523091255539,-0.352851761951968,0.01950351360513,295.36,271.5,,3.31,,,3.602,3.66,3.837,3.54,4.297,4.395,4.221,4.38,4.8446,4.919,5.1,5.025,0.2554,2.87,3.7375,,,0.02,,,,,,,,26.5,,,,,4.31983531013724,4.95966862478758,25.82,2
2002-01-09,0,0,0,0,4.49,5.89,1.4,-0.06,3722.98,0.8921,822.23,-11.4177045062399,-0.012363392442012,0.05845804340675,295.24,271.5,,3.36,,,3.729,3.76,3.938,3.635,4.358,4.485,4.635,4.451,4.9078,4.987,5.142,5.076,0.2342,-2.12,3.8125,,,0.075,,,,,,,,25.58,,,,,4.45453572797963,5.0165528316833,26.5,3
2002-01-10,0,0,0,0,4.41,5.85,1.44,0.04,3666.36,0.8909,820.7,-11.5523091255539,-0.665559706873012,-0.05845804340675,292.6,268.55,,3.37,,,3.696,3.751,3.952,3.62,4.338,4.43,4.617,4.423,4.8577,4.915,5.1,5.022,0.242299999999999,0.81,3.83,,,0.0175,,,,,,,,26.14,,,,,4.42393733432538,4.96429880163169,25.58,4
2002-01-11,0,0,0,0,4.46,5.88,1.42,-0.02,3696.66,0.8919,821.52,-11.4401260309975,0.357440210230038,0.04872049892866,294.61,269.23,,3.38,,,3.702,3.747,3.921,3.605,4.285,4.414,4.581,4.383,4.8129,4.887,5.053,4.981,0.2401,-0.22,3.8075,,,-0.0225,,,,,,,,27.83,,,,,4.38884710613846,4.92479619034581,26.14,5
2002-01-14,0,0,0,0,4.33,5.82,1.49,0,3588.51,0.8927,818.55,-11.3504700796821,-1.28953474043601,0.038937084926101,288.17,263.38,,3.32,,,3.641,3.679,3.866,3.522,4.249,4.35,4.54,4.336,4.7493,4.819,5.016,4.917,0.2667,2.66,3.735,,,-0.0725,,,,,,,,27.52,,,,,4.34577832058098,4.86712160184771,27.83,1
2002-01-15,0,0,0,0,4.41,5.84,1.42,-0.07,3637.2,0.8922,819.9,-11.4064956287973,0.585302160899971,-0.02433158682633,290.92,267.51,,3.36,,,3.68,3.72,3.895,3.588,4.265,4.375,4.556,4.368,4.7644,4.84,5.013,4.932,0.2486,-1.81,3.7825,,,0.0475,,,,,,,,27.79,,,,,4.36771939376335,4.87863891035967,27.52,2
2002-01-16,0,0,0,0,4.36,5.82,1.47,0.05,3576.6,0.8817,818.22,-12.5903416889156,-0.729681020212979,-0.51413781133229,287.93,263.8,,3.34,,,3.675,3.705,3.883,3.603,4.285,4.363,4.563,4.379,4.7693,4.857,5.039,4.959,0.269699999999999,2.11,3.7725,,,-0.01,,,,,,,,25.47,,,,,4.37330052536679,4.89350141818179,27.79,3
2002-01-17,0,0,0,0,4.38,5.86,1.48,0.01,3649.43,0.8819,820.23,-12.5676608088002,0.875466561710994,0.00985018107882,291.26,271.48,,3.38,,,3.675,3.723,3.927,3.621,4.321,4.356,4.595,4.414,4.824,4.87,5.095,5.001,0.271,0.13,3.8225,,,0.05,,,,,,,,26.23,,,,,4.39857838913349,4.93752653352506,25.47,4
2002-01-18,0,0,0,0,4.44,5.87,1.44,-0.04,3639.27,0.881,819.95,-12.6697653045958,-0.121076043574021,-0.04434341910152,290.25,271.18,,3.37,,,3.697,3.733,3.901,3.613,4.299,4.394,4.577,4.391,4.8239,4.892,5.07,4.995,0.2461,-2.49,3.8025,,,-0.02,,,,,,,,26.74,,,,,4.39334179797258,4.93839816597929,26.23,5
2002-01-21,0,0,0,0,4.41,5.87,1.45,0,3601.97,0.884,818.92,-12.3298216344494,-0.447418603721985,0.147635660102511,288.63,268.63,,3.38,,,3.709,3.72,3.886,3.618,4.287,4.39,4.568,4.381,4.8047,4.878,5.06,4.975,0.255299999999999,0.92,3.8025,,,0,,,,,,,,25.66,,,,,4.38677598587054,4.92230875426114,26.74,1
2002-01-22,0,0,0,0,4.45,5.94,1.49,0.04,3614.62,0.883,819.27,-12.4430078378177,0.152255589496008,-0.049156143550451,288.61,272.22,,3.48,,,3.805,3.806,3.984,3.691,4.37,4.445,4.636,4.461,4.8545,4.935,5.11,5.033,0.2555,0.02,3.8925,,,0.09,,,,,,,,22.34,,,,,4.4577365758263,4.97468200161163,25.66,2
2002-01-23,0,0,0,0,4.46,5.93,1.47,-0.02,3648.81,0.8856,820.22,-12.148989758771,0.408860221822977,0.12769042930978,291.04,274.77,,3.31,,,3.783,3.77,3.962,3.666,4.338,4.418,4.606,4.429,4.8133,4.897,5.072,4.98,0.2587,0.32,3.87,,,-0.0225,,,,,,,,23.38,,,,,4.42839370318513,4.93467780909148,22.34,3
2002-01-24,0,0,0,0,4.5,5.96,1.46,-0.01,3710.14,0.8767,821.88,-13.1590420387597,0.723904830639015,-0.4386601316329,294.55,277.48,,3.35,,,3.897,3.895,4.052,3.761,4.448,4.471,4.707,4.523,4.8876,4.984,5.155,5.076,0.2674,0.87,3.9625,,,0.0925,,,,,,,,22.54,,,,,4.51916850958092,5.01708266719181,23.38,4
2002-01-25,0,0,0,0,4.61,6.02,1.42,-0.04,3701.3,0.8663,821.64,-14.3524010086042,-0.10360105568202,-0.51826921553324,293.51,276.61,,3.39,,,3.96,3.976,4.147,3.821,4.579,4.619,4.838,4.656,4.9859,5.071,5.266,5.171,0.2801,1.27,4.0475,,,0.085,,,,,,,,22.99,,,,,4.65967768275698,5.11642041989566,22.54,5
2002-01-28,0,0,0,0,4.6,6.07,1.47,0,3739.85,0.8578,822.68,-15.3384306899357,0.44998964032601,-0.42822724959506,296.12,279.44,,3.4,,,3.966,3.976,4.136,3.806,4.565,4.575,4.815,4.649,4.9659,5.054,5.24,5.159,0.2741,-0.6,4.0425,,,-0.005,,,,,,,,23.48,,,,,4.64059068258253,5.09868148305271,22.99,1
2002-01-29,0,0,0,0,4.59,6.04,1.45,-0.02,3684.65,0.8624,821.19,-14.8036078827404,-0.645794252393955,0.23227059396091,291.96,276.15,,3.36,,,3.903,3.925,4.08,3.749,4.5,4.536,4.753,4.575,4.9431,5.035,5.201,5.119,0.257899999999999,-1.62,3.9775,,,-0.065,,,,,,,,23.99,,,,,4.58396503904531,5.07066374405182,23.48,2
2002-01-30,0,0,0,0,4.53,6.05,1.52,0.07,3630.73,0.8642,819.72,-14.5951055484304,-0.640228738613018,0.09055141325477,288.71,271.12,,3.34,,,3.877,3.906,4.079,3.752,4.501,4.57,4.742,4.58,4.9235,4.997,5.19,5.103,0.266500000000001,0.86,3.9675,,,-0.01,,,,,,,,23.2,,,,,4.58688516467846,5.04807548785017,23.99,3
2002-01-31,0,0,0,0,4.58,6.09,1.51,-0.01,3670.26,0.8637,820.8,-14.6529792695897,0.470287690554983,-0.02513423774667,292.45,273.68,,3.36,,,3.901,3.926,4.093,3.764,4.493,4.571,4.735,4.589,4.8989,4.981,5.156,5.075,0.257099999999999,-0.94,3.995,,,0.0275,,,,,,,,23.17,,,,,4.5859044749135,5.02265803721903,23.2,4
2002-02-01,0,0,0,0,4.57,6.12,1.54,0.03,3682.69,0.8632,821.14,-14.7108865038212,0.146833190823031,-0.02514879228903,293.46,276.6,,3.36,,,3.872,3.9,4.057,3.749,4.459,4.54,4.694,4.541,4.8718,4.945,5.148,5.047,0.276199999999999,1.91,3.9625,,,-0.0325,,,,,,,,25.48,,,,,4.54977928411009,4.99855490889642,23.17,5
2002-02-04,0,0,0,0,4.49,6.08,1.6,0,3619.23,0.8644,819.4,-14.5719654349406,-0.754897937546048,0.06033265363495,289.99,270.94,,3.32,,,3.792,3.829,3.976,3.67,4.38,4.397,4.621,4.459,4.8241,4.898,5.099,5.001,0.274900000000001,-0.13,3.895,,,-0.0675,,,,,,,,25.59,,,,,4.45625967288922,4.95012835724121,25.48,1
2002-02-05,0,0,0,0,4.46,6.14,1.68,0.08,3535.7,0.8683,817.07,-14.1218001915537,-1.01407746249299,0.19550428114754,285.21,264.18,,3.29,,,3.758,3.796,3.95,3.648,4.36,4.374,4.621,4.455,4.8125,4.887,5.11,4.996,0.2975,2.26,3.8825,,,-0.0125,,,,,,,,27.45,,,,,4.44313671452085,4.94334023725017,25.59,2
2002-02-06,0,0,0,0,4.48,6.21,1.74,0.06,3485.38,0.8664,815.63,-14.3408583295356,-0.622527375216976,-0.09513574054152,282.33,260.25,,3.27,,,3.742,3.784,3.947,3.643,4.367,4.452,4.64,4.476,4.8354,4.915,5.136,5.032,0.3006,0.31,3.8775,,,-0.005,,,,,,,,26.76,,,,,4.4703008857975,4.96930488129337,27.45,3
