Date,AAA,AA,A,BBB,NFAAA,NFAA,NFA,NFBBB,EAFIN,iBoxx € Financials Germany,iBoxx € Financials France,iBoxx € Financials Italy,iBoxx € Financials Spain,EANFINF,iBoxx € Non-Financials Germany,iBoxx € Non-Financials France,iBoxx € Non-Financials Italy,iBoxx € Non-Financials Spain,5y DE gov bond CDS,5y FR gov bond CDS,5y IT gov bond CDS,5y ES gov bond CDS,5y NL gov bond CDS,10y DE gov bond CDS,10y FR gov bond CDS,10y IT gov bond CDS,10y ES gov bond CDS,10y NL gov bond CDS,EABANKBOND,EA bank bond yield senior,EA bank bond yield subordinated,ES_bankbond_IG,EA implied bond market volatility,EA implied stock market volatility,USD/EUR exchange rate,Nominal Effective Exchange Rate (NEER),Dow Jones Euro Stoxx (broad) index,Dow Jones Euro Stoxx Bank Index,Dow Jones Euro Stoxx Utilities sector Index,Dow Jones Euro Stoxx Insurance Index,DOIS2Ydy,DILS2Ydy,DLOGSTOXXdy
1999-01-04,3.939249552,4.608614162,3.60740697,NA,NA,4.334173399,4.72113254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.506552633,4.538662238,3.970909561,NA,14.13,35.43,1.1789,103.118070022,313.92,281.72,347.86,385.69,NA,NA,NA
1999-01-04,3.915562181,4.589662479,3.586390998,NA,NA,4.320323732,4.726387502,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.485697972,4.517530442,3.95404482,NA,5.87,32.9,1.179,102.7469138584,316.97,285.08,353.1,391.88,NA,NA,NA
1999-01-05,3.911664552,4.596305023,3.5798049770000002,NA,NA,4.310450074,4.690498015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.492042236,4.522298122,3.985530127,NA,5.56,35.7,1.1743,102.7469138584,323.16,291.4,356.47,397.87,NA,NA,NA
1999-01-06,3.918015914,4.578435934,3.515258386,NA,NA,4.313410271,4.704873311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.475943125,4.507900966,3.93887252,NA,5.59,36.92,1.1632,101.6437918961,318.27,286.65,352.29,390.86,NA,NA,NA
1999-01-07,3.918975817,4.565602445,3.494076954,NA,NA,4.291335972,4.663173302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.465364309,4.497874856,3.918260602,NA,5.45,38.31,1.1659,101.9641061753,318.02,287.77,349.54,389.08,NA,NA,NA
1999-01-08,3.930683135,4.590806756,3.488382841,NA,NA,4.341044724,4.729670983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.484282934,4.516444822,3.945706312,NA,5.82,35.43,1.1569,101.1284392495,312.7,280.74,347.48,380.2,NA,NA,NA
1999-01-11,3.917869703,4.561734619,3.50104468,NA,NA,4.323907637,4.658540685,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.459085463,4.491622649,3.911369971,NA,5.75,36.45,1.152,101.2803132022,307.85,272.6,344.07,372.11,NA,NA,NA
1999-01-12,3.83421993,4.532251656,3.435972933,NA,NA,4.288949292,4.640018703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.425845572,4.457000932,3.899391529,NA,6.02,46.64,1.1744,102.6535108033,294.67,255.93,331.85,355.18,NA,NA,NA
1999-01-13,3.815092559,4.524175046,3.418991424,NA,NA,4.263761099,4.626006798,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.415972258,4.44956903,3.848924245,NA,6.09,37.87,1.1653,102.1939684955,295.77,254.95,332.27,355.64,NA,NA,NA
1999-01-14,3.826067391,4.510142934,3.431168368,NA,NA,4.270155531,4.641240897,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.404155006,4.437438267,3.840643865,NA,5.89,44.53,1.1626,102.0619566024,300.47,260.68,334.79,365.49,NA,NA,NA
