"","ric","date","time","midquote","datetime_GMT","datetime_CET","time_CET"
"1","EUREON2Y=",2013-07-04,"08:00:00",0.262,2013-07-04 08:00:00,2013-07-04 10:00:00,"10:00:00"
"2","EUREON2Y=",2013-07-04,"08:01:00",0.261,2013-07-04 08:01:00,2013-07-04 10:01:00,"10:01:00"
"3","EUREON2Y=",2013-07-04,"08:02:00",0.265,2013-07-04 08:02:00,2013-07-04 10:02:00,"10:02:00"
"4","EUREON2Y=",2013-07-04,"08:03:00",0.263,2013-07-04 08:03:00,2013-07-04 10:03:00,"10:03:00"
"5","EUREON2Y=",2013-07-04,"08:04:00",0.2625,2013-07-04 08:04:00,2013-07-04 10:04:00,"10:04:00"
"6","EUREON2Y=",2013-07-04,"08:05:00",0.262,2013-07-04 08:05:00,2013-07-04 10:05:00,"10:05:00"
"7","EUREON2Y=",2013-07-04,"08:06:00",0.263,2013-07-04 08:06:00,2013-07-04 10:06:00,"10:06:00"
"8","EUREON2Y=",2013-07-04,"08:07:00",0.262,2013-07-04 08:07:00,2013-07-04 10:07:00,"10:07:00"
"9","EUREON2Y=",2013-07-04,"08:08:00",0.262,2013-07-04 08:08:00,2013-07-04 10:08:00,"10:08:00"
"10","EUREON2Y=",2013-07-04,"08:09:00",0.263,2013-07-04 08:09:00,2013-07-04 10:09:00,"10:09:00"
"11","EUREON2Y=",2013-07-04,"08:10:00",0.262,2013-07-04 08:10:00,2013-07-04 10:10:00,"10:10:00"
"12","EUREON2Y=",2013-07-04,"08:11:00",0.262,2013-07-04 08:11:00,2013-07-04 10:11:00,"10:11:00"
"13","EUREON2Y=",2013-07-04,"08:12:00",0.266,2013-07-04 08:12:00,2013-07-04 10:12:00,"10:12:00"
"14","EUREON2Y=",2013-07-04,"08:13:00",0.262,2013-07-04 08:13:00,2013-07-04 10:13:00,"10:13:00"
"15","EUREON2Y=",2013-07-04,"08:14:00",0.267,2013-07-04 08:14:00,2013-07-04 10:14:00,"10:14:00"
"16","EUREON2Y=",2013-07-04,"08:15:00",0.261,2013-07-04 08:15:00,2013-07-04 10:15:00,"10:15:00"
"17","EUREON2Y=",2013-07-04,"08:16:00",0.262,2013-07-04 08:16:00,2013-07-04 10:16:00,"10:16:00"
"18","EUREON2Y=",2013-07-04,"08:17:00",0.263,2013-07-04 08:17:00,2013-07-04 10:17:00,"10:17:00"
"19","EUREON2Y=",2013-07-04,"08:18:00",0.261,2013-07-04 08:18:00,2013-07-04 10:18:00,"10:18:00"
"20","EUREON2Y=",2013-07-04,"08:19:00",0.261,2013-07-04 08:19:00,2013-07-04 10:19:00,"10:19:00"
"21","EUREON2Y=",2013-07-04,"08:20:00",0.264,2013-07-04 08:20:00,2013-07-04 10:20:00,"10:20:00"
"22","EUREON2Y=",2013-07-04,"08:21:00",0.264,2013-07-04 08:21:00,2013-07-04 10:21:00,"10:21:00"
"23","EUREON2Y=",2013-07-04,"08:22:00",0.2645,2013-07-04 08:22:00,2013-07-04 10:22:00,"10:22:00"
