"","ric","date","time","midquote","datetime_GMT","datetime_CET","time_CET"
"1","EUREON2Y=",2015-12-03,"09:00:00",-0.348,2015-12-03 09:00:00,2015-12-03 10:00:00,"10:00:00"
"2","EUREON2Y=",2015-12-03,"09:01:00",-0.348,2015-12-03 09:01:00,2015-12-03 10:01:00,"10:01:00"
"3","EUREON2Y=",2015-12-03,"09:02:00",-0.349,2015-12-03 09:02:00,2015-12-03 10:02:00,"10:02:00"
"4","EUREON2Y=",2015-12-03,"09:03:00",-0.349,2015-12-03 09:03:00,2015-12-03 10:03:00,"10:03:00"
"5","EUREON2Y=",2015-12-03,"09:04:00",-0.35,2015-12-03 09:04:00,2015-12-03 10:04:00,"10:04:00"
"6","EUREON2Y=",2015-12-03,"09:05:00",-0.346,2015-12-03 09:05:00,2015-12-03 10:05:00,"10:05:00"
"7","EUREON2Y=",2015-12-03,"09:06:00",-0.34825,2015-12-03 09:06:00,2015-12-03 10:06:00,"10:06:00"
"8","EUREON2Y=",2015-12-03,"09:07:00",-0.349,2015-12-03 09:07:00,2015-12-03 10:07:00,"10:07:00"
"9","EUREON2Y=",2015-12-03,"09:08:00",-0.34805,2015-12-03 09:08:00,2015-12-03 10:08:00,"10:08:00"
"10","EUREON2Y=",2015-12-03,"09:09:00",-0.34805,2015-12-03 09:09:00,2015-12-03 10:09:00,"10:09:00"
"11","EUREON2Y=",2015-12-03,"09:10:00",-0.348,2015-12-03 09:10:00,2015-12-03 10:10:00,"10:10:00"
"12","EUREON2Y=",2015-12-03,"09:11:00",-0.34795,2015-12-03 09:11:00,2015-12-03 10:11:00,"10:11:00"
"13","EUREON2Y=",2015-12-03,"09:12:00",-0.348,2015-12-03 09:12:00,2015-12-03 10:12:00,"10:12:00"
"14","EUREON2Y=",2015-12-03,"09:13:00",-0.349,2015-12-03 09:13:00,2015-12-03 10:13:00,"10:13:00"
"15","EUREON2Y=",2015-12-03,"09:14:00",-0.35,2015-12-03 09:14:00,2015-12-03 10:14:00,"10:14:00"
"16","EUREON2Y=",2015-12-03,"09:15:00",-0.349,2015-12-03 09:15:00,2015-12-03 10:15:00,"10:15:00"
"17","EUREON2Y=",2015-12-03,"09:16:00",-0.34795,2015-12-03 09:16:00,2015-12-03 10:16:00,"10:16:00"
"18","EUREON2Y=",2015-12-03,"09:17:00",-0.351,2015-12-03 09:17:00,2015-12-03 10:17:00,"10:17:00"
"19","EUREON2Y=",2015-12-03,"09:18:00",-0.34805,2015-12-03 09:18:00,2015-12-03 10:18:00,"10:18:00"
"20","EUREON2Y=",2015-12-03,"09:19:00",-0.34805,2015-12-03 09:19:00,2015-12-03 10:19:00,"10:19:00"
"21","EUREON2Y=",2015-12-03,"09:20:00",-0.34825,2015-12-03 09:20:00,2015-12-03 10:20:00,"10:20:00"
"22","EUREON2Y=",2015-12-03,"09:21:00",-0.35,2015-12-03 09:21:00,2015-12-03 10:21:00,"10:21:00"
"23","EUREON2Y=",2015-12-03,"09:22:00",-0.3488,2015-12-03 09:22:00,2015-12-03 10:22:00,"10:22:00"
"24","EUREON2Y=",2015-12-03,"09:23:00",-0.34875,2015-12-03 09:23:00,2015-12-03 10:23:00,"10:23:00"
"25","EUREON2Y=",2015-12-03,"09:24:00",-0.349,2015-12-03 09:24:00,2015-12-03 10:24:00,"10:24:00"
"26","EUREON2Y=",2015-12-03,"09:25:00",-0.349,2015-12-03 09:25:00,2015-12-03 10:25:00,"10:25:00"
"27","EUREON2Y=",2015-12-03,"09:26:00",-0.34945,2015-12-03 09:26:00,2015-12-03 10:26:00,"10:26:00"
"28","EUREON2Y=",2015-12-03,"09:27:00",-0.3495,2015-12-03 09:27:00,2015-12-03 10:27:00,"10:27:00"
"29","EUREON2Y=",2015-12-03,"09:28:00",-0.3504,2015-12-03 09:28:00,2015-12-03 10:28:00,"10:28:00"
"30","EUREON2Y=",2015-12-03,"09:29:00",-0.35105,2015-12-03 09:29:00,2015-12-03 10:29:00,"10:29:00"
"31","EUREON2Y=",2015-12-03,"09:30:00",-0.3516,2015-12-03 09:30:00,2015-12-03 10:30:00,"10:30:00"
"32","EUREON2Y=",2015-12-03,"09:31:00",-0.352,2015-12-03 09:31:00,2015-12-03 10:31:00,"10:31:00"
"33","EUREON2Y=",2015-12-03,"09:32:00",-0.353,2015-12-03 09:32:00,2015-12-03 10:32:00,"10:32:00"
"34","EUREON2Y=",2015-12-03,"09:33:00",-0.3509,2015-12-03 09:33:00,2015-12-03 10:33:00,"10:33:00"
"35","EUREON2Y=",2015-12-03,"09:34:00",-0.349,2015-12-03 09:34:00,2015-12-03 10:34:00,"10:34:00"
"36","EUREON2Y=",2015-12-03,"09:35:00",-0.352,2015-12-03 09:35:00,2015-12-03 10:35:00,"10:35:00"
"37","EUREON2Y=",2015-12-03,"09:36:00",-0.3508,2015-12-03 09:36:00,2015-12-03 10:36:00,"10:36:00"
"38","EUREON2Y=",2015-12-03,"09:37:00",-0.348,2015-12-03 09:37:00,2015-12-03 10:37:00,"10:37:00"
"39","EUREON2Y=",2015-12-03,"09:38:00",-0.35045,2015-12-03 09:38:00,2015-12-03 10:38:00,"10:38:00"
"40","EUREON2Y=",2015-12-03,"09:39:00",-0.35045,2015-12-03 09:39:00,2015-12-03 10:39:00,"10:39:00"
"41","EUREON2Y=",2015-12-03,"09:40:00",-0.35045,2015-12-03 09:40:00,2015-12-03 10:40:00,"10:40:00"
"42","EUREON2Y=",2015-12-03,"09:41:00",-0.3496,2015-12-03 09:41:00,2015-12-03 10:41:00,"10:41:00"
"43","EUREON2Y=",2015-12-03,"09:42:00",-0.3496,2015-12-03 09:42:00,2015-12-03 10:42:00,"10:42:00"
"44","EUREON2Y=",2015-12-03,"09:43:00",-0.34965,2015-12-03 09:43:00,2015-12-03 10:43:00,"10:43:00"
"45","EUREON2Y=",2015-12-03,"09:44:00",-0.35005,2015-12-03 09:44:00,2015-12-03 10:44:00,"10:44:00"
"46","EUREON2Y=",2015-12-03,"09:45:00",-0.35015,2015-12-03 09:45:00,2015-12-03 10:45:00,"10:45:00"
"47","EUREON2Y=",2015-12-03,"09:46:00",-0.351,2015-12-03 09:46:00,2015-12-03 10:46:00,"10:46:00"
"48","EUREON2Y=",2015-12-03,"09:47:00",-0.35055,2015-12-03 09:47:00,2015-12-03 10:47:00,"10:47:00"
"49","EUREON2Y=",2015-12-03,"09:48:00",-0.35025,2015-12-03 09:48:00,2015-12-03 10:48:00,"10:48:00"
"50","EUREON2Y=",2015-12-03,"09:49:00",-0.3499,2015-12-03 09:49:00,2015-12-03 10:49:00,"10:49:00"
"51","EUREON2Y=",2015-12-03,"09:50:00",-0.3499,2015-12-03 09:50:00,2015-12-03 10:50:00,"10:50:00"
"52","EUREON2Y=",2015-12-03,"09:51:00",-0.35005,2015-12-03 09:51:00,2015-12-03 10:51:00,"10:51:00"
"53","EUREON2Y=",2015-12-03,"09:52:00",-0.3497,2015-12-03 09:52:00,2015-12-03 10:52:00,"10:52:00"
"54","EUREON2Y=",2015-12-03,"09:53:00",-0.34935,2015-12-03 09:53:00,2015-12-03 10:53:00,"10:53:00"
"55","EUREON2Y=",2015-12-03,"09:54:00",-0.3495,2015-12-03 09:54:00,2015-12-03 10:54:00,"10:54:00"
"56","EUREON2Y=",2015-12-03,"09:55:00",-0.348,2015-12-03 09:55:00,2015-12-03 10:55:00,"10:55:00"
"57","EUREON2Y=",2015-12-03,"09:56:00",-0.3498,2015-12-03 09:56:00,2015-12-03 10:56:00,"10:56:00"
"58","EUREON2Y=",2015-12-03,"09:57:00",-0.34945,2015-12-03 09:57:00,2015-12-03 10:57:00,"10:57:00"
"59","EUREON2Y=",2015-12-03,"09:58:00",-0.34955,2015-12-03 09:58:00,2015-12-03 10:58:00,"10:58:00"
"60","EUREON2Y=",2015-12-03,"09:59:00",-0.347,2015-12-03 09:59:00,2015-12-03 10:59:00,"10:59:00"
"61","EUREON2Y=",2015-12-03,"10:00:00",-0.34995,2015-12-03 10:00:00,2015-12-03 11:00:00,"11:00:00"
"62","EUREON2Y=",2015-12-03,"10:01:00",-0.3502,2015-12-03 10:01:00,2015-12-03 11:01:00,"11:01:00"
"63","EUREON2Y=",2015-12-03,"10:02:00",-0.35,2015-12-03 10:02:00,2015-12-03 11:02:00,"11:02:00"
"64","EUREON2Y=",2015-12-03,"10:03:00",-0.35,2015-12-03 10:03:00,2015-12-03 11:03:00,"11:03:00"
"65","EUREON2Y=",2015-12-03,"10:04:00",-0.35045,2015-12-03 10:04:00,2015-12-03 11:04:00,"11:04:00"
"66","EUREON2Y=",2015-12-03,"10:05:00",-0.3505,2015-12-03 10:05:00,2015-12-03 11:05:00,"11:05:00"
"67","EUREON2Y=",2015-12-03,"10:06:00",-0.35035,2015-12-03 10:06:00,2015-12-03 11:06:00,"11:06:00"
"68","EUREON2Y=",2015-12-03,"10:07:00",-0.35035,2015-12-03 10:07:00,2015-12-03 11:07:00,"11:07:00"
"69","EUREON2Y=",2015-12-03,"10:08:00",-0.348,2015-12-03 10:08:00,2015-12-03 11:08:00,"11:08:00"
"70","EUREON2Y=",2015-12-03,"10:09:00",-0.349,2015-12-03 10:09:00,2015-12-03 11:09:00,"11:09:00"
"71","EUREON2Y=",2015-12-03,"10:10:00",-0.347,2015-12-03 10:10:00,2015-12-03 11:10:00,"11:10:00"
"72","EUREON2Y=",2015-12-03,"10:11:00",-0.348,2015-12-03 10:11:00,2015-12-03 11:11:00,"11:11:00"
"73","EUREON2Y=",2015-12-03,"10:12:00",-0.349,2015-12-03 10:12:00,2015-12-03 11:12:00,"11:12:00"
"74","EUREON2Y=",2015-12-03,"10:13:00",-0.3506,2015-12-03 10:13:00,2015-12-03 11:13:00,"11:13:00"
"75","EUREON2Y=",2015-12-03,"10:14:00",-0.3503,2015-12-03 10:14:00,2015-12-03 11:14:00,"11:14:00"
"76","EUREON2Y=",2015-12-03,"10:15:00",-0.351,2015-12-03 10:15:00,2015-12-03 11:15:00,"11:15:00"
"77","EUREON2Y=",2015-12-03,"10:16:00",-0.35045,2015-12-03 10:16:00,2015-12-03 11:16:00,"11:16:00"
"78","EUREON2Y=",2015-12-03,"10:17:00",-0.35005,2015-12-03 10:17:00,2015-12-03 11:17:00,"11:17:00"
